Team,Season,Rating
Arsenal,1992-1993,51.0
Aston Villa,1992-1993,51.0
Blackburn,1992-1993,51.0
Chelsea,1992-1993,51.0
Coventry City,1992-1993,51.0
Crystal Palace,1992-1993,51.0
Everton,1992-1993,51.0
Ipswich Town,1992-1993,51.0
Leeds United,1992-1993,51.0
Liverpool,1992-1993,51.0
Manchester City,1992-1993,51.0
Manchester Utd,1992-1993,51.0
Middlesbrough,1992-1993,51.0
Norwich City,1992-1993,51.0
Nott'ham Forest,1992-1993,51.0
Oldham Athletic,1992-1993,51.0
QPR,1992-1993,51.0
Sheffield Utd,1992-1993,51.0
Sheffield Weds,1992-1993,51.0
Southampton,1992-1993,51.0
Tottenham,1992-1993,51.0
Wimbledon,1992-1993,51.0
Arsenal,1993-1994,57.32
Aston Villa,1993-1994,57.35
Blackburn,1993-1994,57.51
Chelsea,1993-1994,57.02
Coventry City,1993-1994,57.01
Everton,1993-1994,57.02
Ipswich Town,1993-1994,57.05
Leeds United,1993-1994,56.98
Liverpool,1993-1994,57.12
Manchester City,1993-1994,57.05
Manchester Utd,1993-1994,57.62
Newcastle Utd,1993-1994,51.0
Norwich City,1993-1994,56.99
Oldham Athletic,1993-1994,56.6
QPR,1993-1994,56.93
Sheffield Utd,1993-1994,57.04
Sheffield Weds,1993-1994,56.97
Southampton,1993-1994,56.92
Swindon Town,1993-1994,51.0
Tottenham,1993-1994,56.94
West Ham,1993-1994,51.0
Wimbledon,1993-1994,57.14
Arsenal,1994-1995,61.42
Aston Villa,1994-1995,60.87
Blackburn,1994-1995,61.22
Chelsea,1994-1995,60.54
Coventry City,1994-1995,60.68
Crystal Palace,1994-1995,54.46
Everton,1994-1995,60.43
Ipswich Town,1994-1995,60.6
Leeds United,1994-1995,61.03
Leicester City,1994-1995,51.0
Liverpool,1994-1995,60.49
Manchester City,1994-1995,60.6
Manchester Utd,1994-1995,61.38
Newcastle Utd,1994-1995,57.55
Norwich City,1994-1995,60.48
Nott'ham Forest,1994-1995,54.43
QPR,1994-1995,60.43
Sheffield Weds,1994-1995,60.58
Southampton,1994-1995,60.21
Tottenham,1994-1995,60.39
West Ham,1994-1995,56.84
Wimbledon,1994-1995,60.65
Arsenal,1995-1996,62.24
Aston Villa,1995-1996,61.83
Blackburn,1995-1996,62.52
Bolton,1995-1996,51.0
Chelsea,1995-1996,61.8
Coventry City,1995-1996,61.8
Everton,1995-1996,61.76
Leeds United,1995-1996,62.42
Liverpool,1995-1996,62.12
Manchester City,1995-1996,61.3
Manchester Utd,1995-1996,61.81
Middlesbrough,1995-1996,52.13
Newcastle Utd,1995-1996,61.04
Nott'ham Forest,1995-1996,58.43
QPR,1995-1996,61.63
Sheffield Weds,1995-1996,61.74
Southampton,1995-1996,61.45
Tottenham,1995-1996,61.67
West Ham,1995-1996,60.53
Wimbledon,1995-1996,61.71
Arsenal,1996-1997,62.36
Aston Villa,1996-1997,62.0
Blackburn,1996-1997,62.13
Chelsea,1996-1997,61.88
Coventry City,1996-1997,61.67
Derby County,1996-1997,51.0
Everton,1996-1997,62.11
Leeds United,1996-1997,61.94
Leicester City,1996-1997,54.3
Liverpool,1996-1997,62.5
Manchester Utd,1996-1997,62.39
Middlesbrough,1996-1997,56.94
Newcastle Utd,1996-1997,62.32
Nott'ham Forest,1996-1997,60.53
Sheffield Weds,1996-1997,61.5
Southampton,1996-1997,61.52
Sunderland,1996-1997,51.0
Tottenham,1996-1997,61.89
West Ham,1996-1997,61.68
Wimbledon,1996-1997,61.46
Arsenal,1997-1998,62.55
Aston Villa,1997-1998,62.21
Barnsley,1997-1998,51.0
Blackburn,1997-1998,61.92
Bolton,1997-1998,54.28
Chelsea,1997-1998,61.39
Coventry City,1997-1998,61.57
Crystal Palace,1997-1998,52.18
Derby County,1997-1998,56.87
Everton,1997-1998,61.84
Leeds United,1997-1998,62.18
Leicester City,1997-1998,58.04
Liverpool,1997-1998,62.41
Manchester Utd,1997-1998,62.45
Newcastle Utd,1997-1998,62.27
Sheffield Weds,1997-1998,61.64
Southampton,1997-1998,61.68
Tottenham,1997-1998,61.97
West Ham,1997-1998,61.63
Wimbledon,1997-1998,61.72
Arsenal,1998-1999,62.82
Aston Villa,1998-1999,61.92
Blackburn,1998-1999,62.02
Charlton Ath,1998-1999,51.0
Chelsea,1998-1999,61.85
Coventry City,1998-1999,61.86
Derby County,1998-1999,60.6
Everton,1998-1999,61.67
Leeds United,1998-1999,61.93
Leicester City,1998-1999,60.81
Liverpool,1998-1999,62.35
Manchester Utd,1998-1999,63.02
Middlesbrough,1998-1999,55.57
Newcastle Utd,1998-1999,61.88
Nott'ham Forest,1998-1999,55.54
Sheffield Weds,1998-1999,61.53
Southampton,1998-1999,61.61
Tottenham,1998-1999,61.76
West Ham,1998-1999,61.58
Wimbledon,1998-1999,61.85
Arsenal,1999-2000,63.59
Aston Villa,1999-2000,62.07
Bradford City,1999-2000,51.0
Chelsea,1999-2000,62.29
Coventry City,1999-2000,61.64
Derby County,1999-2000,61.83
Everton,1999-2000,61.86
Leeds United,1999-2000,62.28
Leicester City,1999-2000,62.02
Liverpool,1999-2000,62.02
Manchester Utd,1999-2000,62.74
Middlesbrough,1999-2000,58.31
Newcastle Utd,1999-2000,61.45
Sheffield Weds,1999-2000,61.78
Southampton,1999-2000,61.52
Sunderland,1999-2000,52.17
Tottenham,1999-2000,61.8
Watford,1999-2000,51.0
West Ham,1999-2000,61.96
Wimbledon,1999-2000,61.61
Arsenal,2000-2001,62.7
Aston Villa,2000-2001,62.2
Bradford City,2000-2001,56.78
Charlton Ath,2000-2001,54.49
Chelsea,2000-2001,62.43
Coventry City,2000-2001,61.63
Derby County,2000-2001,61.77
Everton,2000-2001,61.9
Ipswich Town,2000-2001,51.0
Leeds United,2000-2001,62.2
Leicester City,2000-2001,61.65
Liverpool,2000-2001,62.29
Manchester City,2000-2001,51.0
Manchester Utd,2000-2001,62.43
Middlesbrough,2000-2001,60.59
Newcastle Utd,2000-2001,61.58
Southampton,2000-2001,61.61
Sunderland,2000-2001,57.01
Tottenham,2000-2001,61.69
West Ham,2000-2001,61.87
Arsenal,2001-2002,62.5
Aston Villa,2001-2002,61.94
Blackburn,2001-2002,52.16
Bolton,2001-2002,51.0
Charlton Ath,2001-2002,58.35
Chelsea,2001-2002,62.17
Derby County,2001-2002,61.77
Everton,2001-2002,61.55
Fulham,2001-2002,51.0
Ipswich Town,2001-2002,57.25
Leeds United,2001-2002,62.08
Leicester City,2001-2002,61.64
Liverpool,2001-2002,62.4
Manchester Utd,2001-2002,62.7
Middlesbrough,2001-2002,61.21
Newcastle Utd,2001-2002,61.52
Southampton,2001-2002,61.85
Sunderland,2001-2002,60.76
Tottenham,2001-2002,61.74
West Ham,2001-2002,61.68
Arsenal,2002-2003,62.05
Aston Villa,2002-2003,61.84
Birmingham City,2002-2003,51.0
Blackburn,2002-2003,57.1
Bolton,2002-2003,57.1
Charlton Ath,2002-2003,60.69
Chelsea,2002-2003,61.94
Everton,2002-2003,61.68
Fulham,2002-2003,57.1
Leeds United,2002-2003,61.91
Liverpool,2002-2003,62.09
Manchester City,2002-2003,54.37
Manchester Utd,2002-2003,62.21
Middlesbrough,2002-2003,61.52
Newcastle Utd,2002-2003,61.71
Southampton,2002-2003,61.87
Sunderland,2002-2003,61.89
Tottenham,2002-2003,61.8
West Brom,2002-2003,51.0
West Ham,2002-2003,61.74
Arsenal,2003-2004,62.12
Aston Villa,2003-2004,61.71
Birmingham City,2003-2004,56.96
Blackburn,2003-2004,60.9
Bolton,2003-2004,60.55
Charlton Ath,2003-2004,61.63
Chelsea,2003-2004,62.13
Everton,2003-2004,61.76
Fulham,2003-2004,60.6
Leeds United,2003-2004,61.78
Leicester City,2003-2004,55.72
Liverpool,2003-2004,62.18
Manchester City,2003-2004,58.11
Manchester Utd,2003-2004,62.38
Middlesbrough,2003-2004,61.7
Newcastle Utd,2003-2004,62.01
Portsmouth,2003-2004,51.0
Southampton,2003-2004,61.94
Tottenham,2003-2004,61.47
Wolves,2003-2004,51.0
Arsenal,2004-2005,62.64
Aston Villa,2004-2005,61.86
Birmingham City,2004-2005,60.74
Blackburn,2004-2005,61.77
Bolton,2004-2005,61.66
Charlton Ath,2004-2005,61.68
Chelsea,2004-2005,62.74
Crystal Palace,2004-2005,51.0
Everton,2004-2005,61.68
Fulham,2004-2005,62.09
Liverpool,2004-2005,62.19
Manchester City,2004-2005,60.38
Manchester Utd,2004-2005,62.46
Middlesbrough,2004-2005,61.91
Newcastle Utd,2004-2005,62.05
Norwich City,2004-2005,51.0
Portsmouth,2004-2005,56.91
Southampton,2004-2005,61.94
Tottenham,2004-2005,61.47
West Brom,2004-2005,54.34
Arsenal,2005-2006,62.87
Aston Villa,2005-2006,61.85
Birmingham City,2005-2006,61.78
Blackburn,2005-2006,61.93
Bolton,2005-2006,61.64
Charlton Ath,2005-2006,61.74
Chelsea,2005-2006,63.98
Everton,2005-2006,61.86
Fulham,2005-2006,61.81
Liverpool,2005-2006,61.87
Manchester City,2005-2006,61.8
Manchester Utd,2005-2006,62.82
Middlesbrough,2005-2006,61.89
Newcastle Utd,2005-2006,61.63
Portsmouth,2005-2006,60.19
Sunderland,2005-2006,52.11
Tottenham,2005-2006,61.83
West Brom,2005-2006,57.96
West Ham,2005-2006,52.15
Wigan Athletic,2005-2006,51.0
Arsenal,2006-2007,62.87
Aston Villa,2006-2007,61.78
Blackburn,2006-2007,62.18
Bolton,2006-2007,62.02
Charlton Ath,2006-2007,61.86
Chelsea,2006-2007,63.84
